NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
       311    696.7769     44.4995     3873.736     104.8386        52 -68.11   2    1.385
       312    873.8186     58.0193     1371.658     100.8661        38  68.77   0    1.843
       313     96.3630     74.3759     738.2579     99.69656        13  47.53   0    1.167
       314    225.1941     74.5038     835.8676     99.11462        13  80.32   0    1.056
       315    170.4904     72.0326     713.3513     98.02018        15 -81.51   2    1.321
       316    211.3195     63.0179      1298.64     100.1702        43  71.23   0    1.487
       317    247.7099     68.5029     623.8699     98.08485        23 -79.81   0    1.884
       318    758.2428     73.0297      1435.19     101.0091        20  24.72   0    1.098
       319    398.0554     54.0546     6723.857     112.2799        80  62.56   2    1.326
       320    594.8283     73.0018     1032.993     100.1001        18 -89.41   2    1.107
       321    687.3325     75.3366      1140.37     99.54278        11 -45.33   2    1.908
       322    861.7410     66.3287     2680.507     103.2578        50  -6.55   0    1.035
       323    366.1239     71.1051     1777.798     100.9876        32 -16.21   0    1.257
       324    567.0652     53.3210     18038.62     132.6265       106  56.14   2    1.075
       325    316.7409     66.3912     637.7157     98.92924        23  17.17   2    1.989
       326    456.9347     68.2569     1240.073     100.0372        27 -85.00   2    1.581
       327    475.4777     72.2741     1813.494     100.5387        24  -4.13   0    1.037
       328    173.9152     75.6399     902.1681     98.72758        18  54.32   2    1.382
       329    491.5964     73.0209     610.9733     98.59759        19 -41.77   2    1.897
       330    248.4535     78.4306     902.1577     99.26651        15  -2.87   0    1.016
       331    693.3336     78.3208     810.5952     98.51656         9 -31.71   2    1.599
       332     29.1857     56.0774     4264.286     106.9366        43  50.90   0    1.029
       333    716.4905     72.9305     2171.927     101.8708        37  55.61   0    1.071
       334    906.3823     75.4910     636.2488     97.84125        15 -62.78   0    1.908
       335    836.3904     73.7485     1704.284     101.3499        29  49.21   0    1.190
       336    717.0444     83.9588     667.4142     98.45702        13 -15.45   0    1.735
       337    528.4127     74.5694     1468.714     101.0845        26  63.88   0    1.267
       338    193.3187     82.6887     731.1166     98.60396        13 -42.80   0    1.194
       339    533.5156     80.1079     1168.931     99.60796        21 -36.35   2    1.252
       340    853.6839      8.5257     3920.019     105.1928       103 -55.56   2    1.831
       341    632.8635     51.2736      31192.4     153.6949       173  59.81   2    1.037
       342    857.2882     81.1727     1098.929      99.1795        20  67.66   0    1.162
       343    843.7083     83.4718     744.0314     98.36288        14 -89.06   0    1.037
       344    881.3964     85.7882     476.9548     98.28819         5 -71.52   0    1.655
       345   1019.1703     88.3524     425.0457     98.71008         8   1.96   0    3.221
       346    775.3336     76.8876     585.4154      97.9957        18  64.31   0    2.282
       347    295.5031     76.0843     621.5914     98.07957        13 -89.43   2    1.375
       348    289.9368     81.7294     946.2764     99.36748        17 -28.21   0    1.133
       349    464.4326     82.2995     664.0845     97.63303        14  87.27   2    1.232
       350     22.4678     84.7237     851.0172     98.60976        14  -1.22   0    1.033
